06-14 11:25:Logons=0, hits=0
06-14 11:36:Logons=0, hits=0
06-14 11:41:Logons=0, hits=0
06-14 11:42:Logons=0, hits=0
06-14 11:43:Logons=0, hits=0
06-14 11:43:Logons=0, hits=0
06-15 08:19:Logons=0, hits=0
06-15 08:26:Logons=0, hits=0
06-15 08:28:Logons=0, hits=0
06-15 08:28:Logons=0, hits=0
07-01 09:02:Logons=0, hits=0
11-26 20:26:Logons=0, hits=0
11-26 20:32:Logons=1, hits=68
11-26 20:39:Logons=1, hits=4
11-26 20:44:Logons=1, hits=9
12-04 22:00:Logons=1, hits=6
08-24 13:08:Logons=0, hits=3
08-25 09:52:Logons=7, hits=370
08-26 13:55:Logons=2, hits=37
09-08 17:05:Logons=3, hits=3063
10-11 22:08:Logons=0, hits=2289
12-21 09:49:Logons=1701052416, hits=549902
03-14 18:27:Logons=1, hits=170
09-02 10:19:Logons=1, hits=12
09-04 13:50:Logons=0, hits=13
02-28 14:34:Logons=3, hits=292
02-28 15:05:Logons=3, hits=118
03-01 00:00:Logons=64, hits=8454
03-02 00:00:Logons=175, hits=21320
03-03 00:00:Logons=189, hits=20103
03-04 00:00:Logons=141, hits=15359
03-05 00:00:Logons=121, hits=12399
03-06 00:00:Logons=45, hits=855
04-07 15:22:Logons=41, hits=5088
04-19 18:54:Logons=0, hits=0
10-07 09:48:Logons=1, hits=70
02-05 11:37:Logons=0, hits=0
02-10 09:46:Logons=0, hits=0
05-09 09:25:Logons=1, hits=6
09-17 09:25:Logons=11, hits=996
03-27 18:12:Logons=1, hits=90
03-28 13:10:Logons=0, hits=32
09-11 19:31:Logons=1, hits=118
09-12 08:49:Logons=0, hits=69
09-12 08:51:Logons=0, hits=8
09-12 10:27:Logons=1, hits=74
